(1, '9', '2007', '2007Q9', '6l3Q6w3mdA8?start=0', 'sequences-series'),
(2, '1', '2008', '2008Q1', '7VTc5Kg1tH0?start=0', 'sequences-series'),
(3, '12', '2009', '2009Q12', 'gmX9Tai9D3I?start=0', 'sequences-series'),
(4, '2', '2010', '2010Q2', 'Lr1J2m2e1vQ?start=140', 'sequences-series'),
(5, '13', '2011', '2011Q13', 'RvdPRAU_Irg?start=1020', 'sequences-series'),
(6, '8', '2011', '2011Q8', 'RvdPRAU_Irg?start=175', 'sequences-series'),
(7, '2', '2012', '2012Q2', 'HF0FzGfiyHk?start=0', 'sequences-series'),
(8, '17', '2013', '2013Q17', '12KUGzzHUwE?start=0', 'sequences-series'),
(9, '14', '2014', '2014Q14', 'F7lHPwYTyX8?start=0', 'sequences-series'),
(10, '3', '2015', '2015Q3', 'ImEMdaICL_g?start=0', 'sequences-series'),
(11, '2', '2016', '2016Q2', 'TTA83H08vog?start=0', 'sequences-series'),
(12, '10', '2017', '2017Q10', 'AlNBZMcEHL4?start=0', 'sequences-series'),
(13, '4', '2017', '2017Q4', 'eiKamTKptvE?start=0', 'sequences-series'),
(14, '14', '2018', '2018Q14', 'XrRN-IXbIck?start=0', 'sequences-series'),
(15, '12', '2007', '2007Q12', 's8EBOIIJGhY?start=0', 'methods-of-proof'),
(16, '11', '2008', '2008Q11', '0rffGr4Lafc?start=0', 'methods-of-proof'),
(17, '4', '2009', '2009Q4', 'XMJQ5V5xErA?start=0', 'methods-of-proof'),
(18, '12', '2010', '2010Q12', '7_6Z0RGzRtM?start=1190', 'methods-of-proof'),
(19, '8', '2010', '2010Q8', '7_6Z0RGzRtM?start=215', 'methods-of-proof'),
(20, '12', '2011', '2011Q12', 'RvdPRAU_Irg?start=725', 'methods-of-proof'),
(21, '16a', '2012', '2012Q16a', 'l2-da3M4umE?start=0', 'methods-of-proof'),
(22, '12', '2013', '2013Q12', 'coo93VluPPU?start=0', 'methods-of-proof'),
(23, '9', '2013', '2013Q9', 'x9hVV0yIdGs?start=0', 'methods-of-proof'),
(24, '7', '2014', '2014Q7', 'OatWIT4Jvmw?start=0', 'methods-of-proof'),
(25, '12', '2015', '2015Q12', 'JcvLlSAu9pI?start=0', 'methods-of-proof'),
(26, '10', '2016', '2016Q10', 'Hxv_jdQ9d-4?start=0', 'methods-of-proof'),
(27, '5', '2016', '2016Q5', 'mTFcNjUUZqE?start=0', 'methods-of-proof'),
(28, '13', '2017', '2017Q13', 'r91bOckGSpA?start=0', 'methods-of-proof'),
